# Minted by compare.py --mint from the reference asl, md5 61e672562465725a8c102288a7da9098,
# flags -xx -n -q -A -L -U, every probe exit 0 with its pass loop complete.
# probe<TAB>location of `warning #180` (or -)<TAB>times asl printed it
p25_mnemonics	p25_mnemonics.asm(19)	1
p25_mnemonics	p25_mnemonics.asm(20)	1
p25_mnemonics	p25_mnemonics.asm(22)	1
p25_mnemonics	p25_mnemonics.asm(4)	1
p25_mnemonics	p25_mnemonics.asm(5)	1
p25_mnemonics	p25_mnemonics.asm(6)	1
p25_mnemonics	p25_mnemonics.asm(7)	1
p25_mnemonics	p25_mnemonics.asm(8)	2
p25_mnemonics	p25_mnemonics.asm(9)	1
p26a_phase_phys_odd_vma_even	-	0
p26b_phase_phys_even_vma_odd_data	-	0
p27_pc_symbol	p27_pc_symbol.asm(4)	1
p28_rept	p28_rept.asm(6) REPT 1(1)	1
p28_rept	p28_rept.asm(6) REPT 2(1)	1
p28_rept	p28_rept.asm(6) REPT 3(1)	1
p29_reg_indirect	-	0
p30_odd_label_long	p30_odd_label_long.asm(4)	1
p30_odd_label_long	p30_odd_label_long.asm(5)	1
s01_sigil_refuses_unsuffixed	s01_sigil_refuses_unsuffixed.asm(4)	1
s01_sigil_refuses_unsuffixed	s01_sigil_refuses_unsuffixed.asm(5)	1
s01_sigil_refuses_unsuffixed	s01_sigil_refuses_unsuffixed.asm(6)	1
s01_sigil_refuses_unsuffixed	s01_sigil_refuses_unsuffixed.asm(7)	1
s02_sigil_refuses_chk	s02_sigil_refuses_chk.asm(4)	1
s03_sigil_refuses_nbcd	-	0
