o_c_sgn_dq	3	unknown		error #10000: internal error;	1		o_c_sgn_dq.asm(4):11: error: string operand in a data directive wider than a byte: asl emits one zero-extended element per character here, which is not implemented
o_c_sgn_q	3	unknown		error #10000: internal error;	1		o_c_sgn_q.asm(4):7: error: bad long expression
o_c_sgn_qparen	3	unknown		error #10000: internal error;	1		o_c_sgn_qparen.asm(4):7: error: bad long expression
o_c_sgn_qplus	3	unknown		error #10000: internal error;	1		o_c_sgn_qplus.asm(4):7: error: bad long expression
o_c_sgn_qsym	3	unknown	='a'                 Q equ 'a'	error #10000: internal error;	1		o_c_sgn_qsym.asm(5):7: error: bad long expression
o_c_sin_dq	3	unknown		error #10000: internal error;	1		o_c_sin_dq.asm(4):11: error: string operand in a data directive wider than a byte: asl emits one zero-extended element per character here, which is not implemented
o_c_sin_q	3	unknown		error #10000: internal error;	1		o_c_sin_q.asm(4):7: error: bad long expression
o_c_sin_qparen	3	unknown		error #10000: internal error;	1		o_c_sin_qparen.asm(4):7: error: bad long expression
o_c_sin_qplus	3	unknown		error #10000: internal error;	1		o_c_sin_qplus.asm(4):7: error: bad long expression
o_c_sin_qsym	3	unknown	='a'                 Q equ 'a'	error #10000: internal error;	1		o_c_sin_qsym.asm(5):7: error: bad long expression
o_c_toupper_dq	2	complete	                     dc.l toupper("a"+0)	error #1136: expected floating point number, but got string;	1		o_c_toupper_dq.asm(4):15: error: string operand in a data directive wider than a byte: asl emits one zero-extended element per character here, which is not implemented
o_c_toupper_q	2	complete	                     dc.l toupper('a')	error #1136: expected floating point number, but got string;	1		o_c_toupper_q.asm(4):7: error: bad long expression
o_c_toupper_qparen	2	complete	                     dc.l toupper(('a'))	error #1136: expected floating point number, but got string;	1		o_c_toupper_qparen.asm(4):7: error: bad long expression
o_c_toupper_qplus	2	complete	                     dc.l toupper('a'+0)	error #1136: expected floating point number, but got string;	1		o_c_toupper_qplus.asm(4):7: error: bad long expression
o_c_toupper_qsym	2	complete	='a'                 Q equ 'a'	error #1136: expected floating point number, but got string;	1		o_c_toupper_qsym.asm(5):7: error: bad long expression
o_e_abs_empty_b	0	complete	00                   dc.b abs()		1		o_e_abs_empty_b.asm(4):7: error: bad byte expression
o_e_abs_empty_equ	0	complete	=$0                  X equ abs()		1		o_e_abs_empty_equ.asm(4):1: error: trailing tokens in expression
o_e_abs_empty_imm	0	complete	203C 0000 0000       move.l #abs(),d0		1		o_e_abs_empty_imm.asm(4):9: error: trailing tokens in #immediate
o_e_abs_empty_sp	0	complete	0000 0000            dc.l abs( )		1		o_e_abs_empty_sp.asm(4):7: error: bad long expression
o_e_cos_empty_int	0	complete	01                   dc.b int(cos())		1		o_e_cos_empty_int.asm(4):7: error: int(): could not evaluate float expression
