ref_bitpos_twoarg	2	complete	                     dc.l bitpos(1,2)	error #1490: wrong numbers of function arguments;	1		ref_bitpos_twoarg.asm(4):7: error: bad long expression
ref_bitpos_undef	2	INCOMPLETE	FFFF FFFF            dc.l bitpos(Nope)	error #1540: not exactly one bit set;	1		ref_bitpos_undef.asm(4):7: error: bad long expression
ref_empty_acosh	2	complete	                     dc.l INT(acosh())	error #1880: floating point overflow;	1		ref_empty_acosh.asm(4):7: error: int(): could not evaluate float expression
ref_empty_bitpos	2	complete	FFFF FFFF            dc.l bitpos()	error #1540: not exactly one bit set;	1		ref_empty_bitpos.asm(4):7: error: bad long expression
ref_empty_ln	2	complete	                     dc.l INT(ln())	error #1870: function argument out of definition range;	1		ref_empty_ln.asm(4):7: error: int(): could not evaluate float expression
ref_empty_log	2	complete	                     dc.l INT(log())	error #1870: function argument out of definition range;	1		ref_empty_log.asm(4):7: error: int(): could not evaluate float expression
ref_empty_sin_bare	2	complete	                     dc.l sin()	error #1133: expected integer or string, but got floating point number;	1		ref_empty_sin_bare.asm(4):7: error: bad long expression
ref_firstbit_char	2	complete	                     dc.l firstbit('a')	error #1136: expected floating point number, but got string;	1		ref_firstbit_char.asm(4):7: error: bad long expression
ref_firstbit_float	3	unknown		error #10000: internal error;	1		ref_firstbit_float.asm(4):16: error: floating point value where an integer is required (wrap it in `int(...)`)
ref_firstbit_floatsym	3	unknown	=2.5                 F set 2.5	error #10000: internal error;	1		ref_firstbit_floatsym.asm(5):16: error: floating point value where an integer is required (wrap it in `int(...)`)
ref_firstbit_string	2	complete	                     dc.l firstbit("A")	error #1136: expected floating point number, but got string;	1		ref_firstbit_string.asm(4):16: error: string operand in a data directive wider than a byte: asl emits one zero-extended element per character here, which is not implemented
ref_firstbit_twoarg	2	complete	                     dc.l firstbit(1,2)	error #1490: wrong numbers of function arguments;	1		ref_firstbit_twoarg.asm(4):7: error: bad long expression
ref_firstbit_undef	2	complete	                     dc.l firstbit(Nope)	error #1010: symbol undefined;	1		ref_firstbit_undef.asm(4):7: error: bad long expression
ref_int_char	3	unknown		error #10000: internal error;	0	00000061EEbuilt:5bytes,nofilewritten(pass-o<path>towriteone)	
ref_lastbit_char	2	complete	                     dc.l lastbit('a')	error #1136: expected floating point number, but got string;	0	00000006EEbuilt:5bytes,nofilewritten(pass-o<path>towriteone)	
ref_lastbit_charsym	2	complete	='a'                 Q equ 'a'	error #1136: expected floating point number, but got string;	0	00000006EEbuilt:5bytes,nofilewritten(pass-o<path>towriteone)	
ref_sgn_char	3	unknown		error #10000: internal error;	1		ref_sgn_char.asm(4):7: error: bad long expression
ref_sgn_string	3	unknown		error #10000: internal error;	1		ref_sgn_string.asm(4):11: error: string operand in a data directive wider than a byte: asl emits one zero-extended element per character here, which is not implemented
ref_sgn_twoarg	2	complete	                     dc.l sgn(1,2)	error #1490: wrong numbers of function arguments;	1		ref_sgn_twoarg.asm(4):7: error: bad long expression
ref_sgn_undef	2	complete	                     dc.l sgn(Nope)	error #1010: symbol undefined;	1		ref_sgn_undef.asm(4):7: error: bad long expression
ref_tolower_256	2	complete	                     dc.b tolower(256)	error #1320: range overflow;	1		ref_tolower_256.asm(4):7: error: bad byte expression
ref_tolower_char	2	complete	                     dc.l tolower('a')	error #1136: expected floating point number, but got string;	1		ref_tolower_char.asm(4):7: error: bad long expression
ref_tolower_float	3	unknown		error #10000: internal error;	1		ref_tolower_float.asm(4):15: error: floating point value where an integer is required (wrap it in `int(...)`)
ref_tolower_floatsym	3	unknown	=2.5                 F set 2.5	error #10000: internal error;	1		ref_tolower_floatsym.asm(5):15: error: floating point value where an integer is required (wrap it in `int(...)`)
ref_tolower_m1	2	complete	                     dc.b tolower(-1)	error #1320: range overflow;	1		ref_tolower_m1.asm(4):7: error: bad byte expression
ref_tolower_string	2	complete	                     dc.l tolower("A")	error #1136: expected floating point number, but got string;	1		ref_tolower_string.asm(4):15: error: string operand in a data directive wider than a byte: asl emits one zero-extended element per character here, which is not implemented
ref_tolower_twoarg	2	complete	                     dc.l tolower(1,2)	error #1490: wrong numbers of function arguments;	1		ref_tolower_twoarg.asm(4):7: error: bad long expression
ref_tolower_undef	2	complete	                     dc.l tolower(Nope)	error #1010: symbol undefined;	1		ref_tolower_undef.asm(4):7: error: bad long expression
